event_id,timestamp,user_id,source_ip,event_type,success,destination_port,protocol,device_id,access_level,required_access_level
evt_0091,2026-09-01T08:02:00,user_002,10.0.0.49,login,True,443,TCP,device_002,standard,standard
evt_0058,2026-09-01T09:34:00,admin_001,10.0.0.18,login,True,443,TCP,device_005,admin,standard
evt_0102,2026-09-01T10:14:00,user_001,10.0.0.54,api_request,True,443,TCP,device_001,standard,standard
evt_0020,2026-09-01T10:32:00,user_003,10.0.0.15,api_request,True,443,TCP,device_003,standard,standard
evt_0021,2026-09-01T10:40:00,user_001,10.0.0.37,login,True,443,TCP,device_001,standard,standard
evt_0031,2026-09-01T10:42:00,admin_001,10.0.0.45,api_request,True,443,TCP,device_005,admin,standard
evt_0046,2026-09-01T11:10:00,user_001,10.0.0.41,api_request,True,443,TCP,device_001,standard,standard
evt_0116,2026-09-01T11:12:00,user_001,10.0.0.25,login,True,443,TCP,device_001,standard,standard
evt_0059,2026-09-01T11:23:00,user_003,10.0.0.20,api_request,True,443,TCP,device_003,standard,standard
evt_0043,2026-09-01T11:34:00,user_002,10.0.0.18,api_request,True,443,TCP,device_002,standard,standard
evt_0119,2026-09-01T12:06:00,user_001,10.0.0.11,data_view,True,443,TCP,device_001,standard,standard
evt_0001,2026-09-01T12:15:00,user_001,10.0.0.16,login,True,443,TCP,device_001,standard,standard
evt_0101,2026-09-01T12:21:00,user_003,10.0.0.44,api_request,True,443,TCP,device_003,standard,standard
evt_0056,2026-09-01T12:25:00,user_003,10.0.0.29,login,True,443,TCP,device_003,standard,standard
evt_0108,2026-09-01T12:27:00,analyst_001,10.0.0.11,api_request,True,443,TCP,device_004,elevated,standard
evt_0044,2026-09-01T12:29:00,analyst_001,10.0.0.14,login,True,443,TCP,device_004,elevated,standard
evt_0115,2026-09-01T13:14:00,admin_001,10.0.0.14,data_view,True,443,TCP,device_005,admin,standard
evt_0106,2026-09-01T13:19:00,analyst_001,10.0.0.36,api_request,True,443,TCP,device_004,elevated,standard
evt_0012,2026-09-01T13:22:00,user_003,10.0.0.54,login,True,443,TCP,device_003,standard,standard
evt_0015,2026-09-01T13:53:00,admin_001,10.0.0.12,login,True,443,TCP,device_005,admin,standard
evt_0029,2026-09-01T13:56:00,user_001,10.0.0.25,api_request,True,443,TCP,device_001,standard,standard
evt_0072,2026-09-01T14:01:00,user_002,10.0.0.31,login,True,443,TCP,device_002,standard,standard
evt_0069,2026-09-01T14:08:00,admin_001,10.0.0.60,login,True,443,TCP,device_005,admin,standard
evt_0011,2026-09-01T14:17:00,user_002,10.0.0.50,api_request,True,443,TCP,device_002,standard,standard
evt_0005,2026-09-01T14:21:00,user_001,10.0.0.19,api_request,True,443,TCP,device_001,standard,standard
evt_0040,2026-09-01T14:22:00,user_001,10.0.0.36,api_request,True,443,TCP,device_001,standard,standard
evt_0022,2026-09-01T14:24:00,admin_001,10.0.0.39,data_view,True,443,TCP,device_005,admin,standard
evt_0042,2026-09-01T14:46:00,user_001,10.0.0.16,api_request,True,443,TCP,device_001,standard,standard
evt_0065,2026-09-01T14:53:00,user_001,10.0.0.12,api_request,True,443,TCP,device_001,standard,standard
evt_0047,2026-09-01T14:57:00,analyst_001,10.0.0.10,login,True,443,TCP,device_004,elevated,standard
evt_0074,2026-09-01T15:14:00,analyst_001,10.0.0.39,login,True,443,TCP,device_004,elevated,standard
evt_0113,2026-09-01T15:20:00,user_003,10.0.0.58,api_request,True,443,TCP,device_003,standard,standard
evt_0017,2026-09-01T15:25:00,user_003,10.0.0.39,data_view,True,443,TCP,device_003,standard,standard
evt_0096,2026-09-01T15:42:00,analyst_001,10.0.0.45,data_view,True,443,TCP,device_004,elevated,standard
